0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:19:59 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/admin/deletecategory/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 4057
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:02 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/admin/deletecategory/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 3913
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:03 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:04 +0530] "GET /frontendp/admin/deletecategory/3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:04 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:04 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:04 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:05 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:05 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:05 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:10 +0530] "GET /frontendp/admin/getcategoryform HTTP/1.1" 200 4116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:10 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:10 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:53 +0530] "POST /frontendp/admin/addcategory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:53 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 3911
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:53 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:53 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:57 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 3911
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:57 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:20:57 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:03 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:03 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:03 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:05 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:05 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:05 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:06 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 4260
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:07 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:07 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:12 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:12 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:21:12 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:05 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 500 26302
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:09 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:09 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:09 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:48 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:48 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:48 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:48 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:48 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:55 +0530] "GET /frontendp/all/getproduct/2 HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:55 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:55 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:55 +0530] "GET /frontendp/all/getproduct/2 HTTP/1.1" 200 4443
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:24:55 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:25:04 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:25:04 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:25:04 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:25:04 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:58:36 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:58:36 +0530] "GET /frontendp/login HTTP/1.1" 200 3743
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:58:36 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:58:36 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:58:36 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:58:36 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:03 +0530] "POST /frontendp/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:03 +0530] "GET /frontendp/loginerror HTTP/1.1" 200 3762
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:03 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:03 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:03 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:03 +0530] "GET /frontendp/resources/images/loginbackground.jpg HTTP/1.1" 200 153377
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:36 +0530] "POST /frontendp/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:36 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:36 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:11:59:36 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:05:53 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 500 26302
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:06:04 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:06:04 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:06:04 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:02 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:02 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 5273
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:02 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:02 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:02 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:02 +0530] "GET /frontendp/resources/images/4.png HTTP/1.1" 200 72631
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:28 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 4906
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:28 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:09:28 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 5942
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "GET /frontendp/resources/images/4.png HTTP/1.1" 200 72631
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:16 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 37420
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:20 +0530] "GET /frontendp/admin/getcategoryform HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:20 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:20 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:48 +0530] "POST /frontendp/admin/addcategory HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:48 +0530] "GET /frontendp/admin/getallcategories HTTP/1.1" 200 3788
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:48 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:48 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:51 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:51 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:14:51 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "POST /frontendp/admin/addproduct HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 6620
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/resources/images/4.png HTTP/1.1" 200 72631
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 37420
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:07 +0530] "GET /frontendp/resources/images/6.png HTTP/1.1" 200 37589
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:14 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:14 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:17:14 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:01 +0530] "GET /frontendp/admin/getproductform HTTP/1.1" 200 5071
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:01 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:01 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/all/getallproducts HTTP/1.1" 200 6620
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/resources/css/navbar.css HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/resources/images/ICON4.png HTTP/1.1" 200 10863
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/resources/images/2.png HTTP/1.1" 200 59092
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/resources/images/4.png HTTP/1.1" 200 72631
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/resources/images/6.png HTTP/1.1" 200 37589
0:0:0:0:0:0:0:1 - - [20/Sep/2018:12:18:04 +0530] "GET /frontendp/resources/images/5.png HTTP/1.1" 200 37420
